time,seconds_elapsed,lux
1742643386173943300,0.055943359375,33
1742643386374104800,0.256104736328125,35
1742643386574090000,0.456090087890625,34
1742643386773521700,0.655521728515625,33
1742643386974029800,0.85602978515625,31
1742643387374016800,1.256016845703125,29
1742643387574104600,1.4561044921875,27
1742643387774109200,1.656109130859375,26
1742643388174009900,2.056009765625,25
1742643388574001700,2.456001708984375,24
1742643389774014700,3.6560146484375,23
1742643389974130400,3.85613037109375,24
1742643390174126300,4.056126220703125,25
1742643390373600300,4.255600341796875,26
1742643390573992200,4.4559921875,25
1742643390974018800,4.856018798828125,24
1742643391174094600,5.056094482421875,23
1742643391374135000,5.256135009765625,22
1742643391573579800,5.455579833984375,21
1742643391774012700,5.6560126953125,10
1742643392174010600,6.0560107421875,28
1742643392574032000,6.456031982421875,30
1742643392773477400,6.655477294921875,28
1742643392974027800,6.85602783203125,17
1742643393174006500,7.056006591796875,11
1742643393374012700,7.2560126953125,8
1742643393574095400,7.456095458984375,19
1742643393773890000,7.65589013671875,21
1742643393974250000,7.85625,24
1742643394574000600,8.456000732421876,18
1742643394774109700,8.656109619140626,15
1742643394973756200,8.855756103515626,12
1742643395174090800,9.0560908203125,14
1742643395374015500,9.256015380859376,15
1742643395573996500,9.45599658203125,9
1742643395774010000,9.656010009765625,5
1742643395974119200,9.856119140625,10
1742643396173647600,10.055647705078124,25
1742643396574001200,10.456001220703126,26
1742643396774014000,10.656013916015626,29
1742643396974022000,10.85602197265625,27
1742643397174104800,11.056104736328125,29
1742643397373530600,11.255530517578125,26
1742643397574013400,11.456013427734375,27
1742643397774024700,11.656024658203124,29
1742643397974026500,11.856026611328126,24
1742643398174112300,12.0561123046875,32
1742643398374110000,12.25610986328125,39
1742643398573501700,12.455501708984375,56
1742643398774007800,12.6560078125,86
1742643398974029000,12.856029052734375,83
1742643399174010600,13.0560107421875,66
1742643399374123500,13.25612353515625,55
1742643399574094800,13.4560947265625,41
1742643399773499000,13.655498779296876,46
1742643399974028500,13.856028564453124,41
1742643400174012000,14.056011962890626,48
1742643400374015700,14.256015625,42
1742643400574094300,14.45609423828125,27
1742643400774136300,14.65613623046875,7
1742643400973564200,14.855564208984376,9
1742643401173998000,15.055998046875,10
1742643401374012400,15.256012451171875,7
1742643401573988600,15.455988525390625,5
1742643401974151700,15.856151611328125,6
1742643402573991200,16.4559912109375,7
1742643402974121500,16.85612158203125,5
1742643403373584100,17.255584228515627,4
1742643403573987800,17.45598779296875,3
1742643403974018600,17.8560185546875,5
1742643404174097700,18.05609765625,8
1742643404374144000,18.25614404296875,34
1742643404573577500,18.455577392578125,53
1742643404774015000,18.656014892578124,62
1742643404974027500,18.856027587890626,63
1742643405174003500,19.05600341796875,52
1742643405374113000,19.256113037109376,11
1742643405574144000,19.45614404296875,8
1742643405773595100,19.65559521484375,6
1742643405974022000,19.85602197265625,8
1742643406174005000,20.0560048828125,6
1742643406374018000,20.25601806640625,7
1742643406574099700,20.456099609375,8
1742643407174004700,21.056004638671876,4
1742643407374016300,21.256016357421874,5
1742643407574000400,21.45600048828125,6
1742643407774123800,21.656123779296873,10
1742643407974147300,21.856147216796874,14
1742643408173579500,22.05557958984375,20
1742643408374020400,22.256020263671875,17
1742643408574000000,22.456000244140625,7
1742643408774011100,22.65601123046875,5
1742643408974124300,22.856124267578124,4
1742643409174125600,23.05612548828125,3
1742643410573569500,24.455569580078127,4
1742643410774011400,24.656011474609375,6
1742643410974023400,24.8560234375,10
1742643411174005200,25.056005126953124,5
1742643411374111200,25.256111328125,6
1742643411773596400,25.655596435546876,7
1742643412574083800,26.456083740234376,8
1742643412774129700,26.656129638671874,13
1742643412973586700,26.855586669921873,16
1742643413174016300,27.056016357421875,27
1742643413374027800,27.25602783203125,26
1742643413574009000,27.456009033203124,25
1742643413974155300,27.8561552734375,23
1742643414173582000,28.05558203125,14
1742643414374035700,28.25603564453125,9
1742643414574001000,28.4560009765625,11
1742643414774021400,28.656021484375,23
1742643414974123800,28.856123779296876,24
1742643415174136000,29.056135986328126,21
1742643415373611300,29.255611328125,27
1742643415574001000,29.4560009765625,19
1742643415774013700,29.656013671875,12
1742643415974026500,29.856026611328126,15
1742643416174103300,30.056103271484375,18
1742643416374143200,30.256143310546875,16
1742643416573572000,30.455572021484375,11
1742643416774015200,30.65601513671875,25
1742643416974027300,30.85602734375,20
1742643417174012200,31.05601220703125,10
1742643417374115800,31.25611572265625,12
1742643417574124500,31.45612451171875,18
1742643417773619200,31.655619140625,19
1742643417974029600,31.856029541015626,17
1742643418174010600,32.0560107421875,10
1742643418374017300,32.256017333984374,5
1742643418574100200,32.456100341796876,6
1742643418973526800,32.85552685546875,8
1742643419174004500,33.05600439453125,6
1742643419573996300,33.455996337890625,5
1742643419774007600,33.65600756835938,2
1742643419974120700,33.85612060546875,16
1742643420173644000,34.05564404296875,29
1742643420374051000,34.256051025390626,30
1742643420574004500,34.45600439453125,21
1742643420774012700,34.6560126953125,12
1742643420974027000,34.85602709960938,21
1742643421174102500,35.0561025390625,19
1742643421373842200,35.25584228515625,15
1742643421574288100,35.4562880859375,23
1742643421774012200,35.65601220703125,12
1742643421974026200,35.856026123046874,26
1742643422174005800,36.056005859375,11
1742643422374111200,36.256111328125,7
1742643422574063400,36.4560634765625,15
1742643422773534200,36.6555341796875,7
1742643422974118000,36.85611791992188,23
1742643423174006300,37.05600634765625,26
1742643423374054400,37.256054443359375,33
1742643423574101500,37.4561015625,27
1742643423774139100,37.65613916015625,19
1742643423973580800,37.855580810546876,42
1742643424174008800,38.0560087890625,18
1742643424574000400,38.45600048828125,19
1742643424774140000,38.656139892578125,17
1742643424974165000,38.8561650390625,22
1742643425173592600,39.055592529296874,23
1742643425374142500,39.256142578125,24
1742643425573996000,39.45599609375,8
1742643425774011100,39.65601123046875,11
1742643425974147000,39.85614697265625,16
1742643426174134500,40.056134521484374,55
1742643426373623600,40.25562353515625,29
1742643426574000400,40.45600048828125,20
1742643426774049000,40.656049072265624,22
1742643426974026500,40.856026611328126,8
1742643427174106600,41.056106689453124,26
1742643427374145300,41.256145263671876,23
1742643427573572600,41.455572509765624,38
1742643427774014200,41.65601416015625,33
1742643427974022100,41.85602221679687,6
1742643428174006000,42.05600610351563,16
1742643428374111200,42.256111328125,5
1742643428574120400,42.456120361328125,14
1742643428773586700,42.655586669921874,16
1742643428974025700,42.85602563476562,25
1742643429174007000,43.056007080078125,19
1742643429374018000,43.25601806640625,12
1742643429574090800,43.4560908203125,8
1742643429774134300,43.65613427734375,5
1742643429973563600,43.855563720703124,7
1742643430174003500,44.05600341796875,8
1742643430374018300,44.25601831054688,10
1742643430573997300,44.45599731445313,8
1742643430774113500,44.65611352539062,7
1742643431374016000,45.25601611328125,6
1742643431573999600,45.45599951171875,10
1742643431974129400,45.85612939453125,14
1742643432174168800,46.0561689453125,18
1742643432373611000,46.25561108398438,15
1742643432573999900,46.455999755859374,18
1742643432774013200,46.65601318359375,28
1742643432974026800,46.85602685546875,27
1742643433174108700,47.056108642578124,30
1742643433374112000,47.256112060546876,29
1742643433573585000,47.4555849609375,38
1742643433774013400,47.65601342773437,42
1742643433974026800,47.85602685546875,45
1742643434174031000,48.056031005859374,41
1742643434374114600,48.25611450195313,40
1742643434574063900,48.45606396484375,45
1742643434974027800,48.85602783203125,47
1742643435174008000,49.05600805664063,51
1742643435374019800,49.25601977539063,53
1742643435773894000,49.655893798828124,51
1742643435974217500,49.85621752929688,52
1742643436174008800,50.0560087890625,49
1742643436374066000,50.25606591796875,30
1742643436574000400,50.45600048828125,26
1742643436774108400,50.6561083984375,25
1742643436973753300,50.85575341796875,24
1742643437174201600,51.05620166015625,22
1742643437573999600,51.45599951171875,24
1742643437774013200,51.65601318359375,38
1742643437974121500,51.85612158203125,48
1742643438173642500,52.055642578125,45
1742643438374229000,52.25622900390625,36
1742643438574003000,52.4560029296875,39
1742643438974026200,52.856026123046874,42
1742643439174139100,53.05613916015625,37
1742643439373633300,53.25563330078125,32
1742643439573513700,53.455513671875,25
1742643439774008800,53.6560087890625,2
1742643439974020600,53.8560205078125,1
1742643440774006300,54.65600634765625,2
1742643446374109200,60.25610913085937,1
1742643446773516800,60.655516845703126,0
1742643447574114000,61.45611401367187,1
1742643448174007800,62.0560078125,29
1742643448374020000,62.25602001953125,37
1742643448574099200,62.45609912109375,40
1742643448774118400,62.65611840820313,62
1742643448973449700,62.85544970703125,53
1742643449174008000,63.05600805664063,67
1742643449374020400,63.25602026367188,62
1742643449573999000,63.4559990234375,60
1742643449774111700,63.65611181640625,66
1742643449974116400,63.85611645507812,84
1742643450173479700,64.05547973632812,83
1742643450573993500,64.45599340820313,81
1742643450774008800,64.6560087890625,85
1742643450974124300,64.85612426757812,84
1742643451574008300,65.45600830078125,69
1742643451774022100,65.65602221679687,90
1742643451974044400,65.85604443359375,94
1742643452374113300,66.25611328125,85
1742643452573487000,66.45548706054687,68
1742643452774011400,66.65601147460937,49
1742643452974027000,66.85602709960938,39
1742643453174000400,67.05600048828126,36
1742643453374115300,67.256115234375,35
1742643453574087000,67.4560869140625,25
1742643453773461800,67.65546166992188,10
1742643453974017000,67.85601708984375,12
1742643454174012200,68.05601220703124,13
1742643454374012700,68.2560126953125,12
1742643454573996300,68.45599633789062,11
1742643454774101000,68.65610107421875,12
1742643454973659600,68.85565966796875,33
1742643455174062300,69.05606225585937,34
1742643455374015000,69.25601489257812,29
1742643455573998000,69.455998046875,28
1742643455774006800,69.6560068359375,26
1742643455974114800,69.85611474609375,28
1742643456173859000,70.05585913085937,29
1742643456374272500,70.2562724609375,31
1742643456974023200,70.85602319335938,30
1742643457573570800,71.45557080078125,29
1742643457774010000,71.65601000976562,28
1742643458174002700,72.05600268554687,29
1742643458374117400,72.25611743164062,30
1742643458574121700,72.45612182617188,57
1742643458773524700,72.65552465820312,53
1742643458974018600,72.8560185546875,47
1742643459174004200,73.05600415039062,50
1742643459374025700,73.25602563476562,40
1742643459574096000,73.45609594726562,38
